pattern_id,k,entries_per_stage,coords
P01,10,59049,A1 B1 A2 B2 C2 B3 C3 D3 C4 D4
P02,10,59049,A1 B1 A2 B2 C3 D4 E5 F6 G7 H8
P03,10,59049,A1 B1 C1 D1 A2 B2 C2 A3 B3 A4
P04,10,59049,A1 B1 C1 D1 E1 A2 B2 A3 A4 A5
P05,10,59049,A1 B1 C1 D1 E1 F1 G1 H1 B2 G2
P06,10,59049,A1 C1 D1 E1 F1 H1 C2 D2 E2 F2
P07,10,59049,B1 C1 D1 E1 F1 G1 C2 D2 E2 F2
P08,9,19683,A1 B1 C1 A2 B2 C2 A3 B3 C3
P09,9,19683,A1 B1 C2 D3 E4 F5 G6 H7 H8
P10,8,6561,A2 B2 C2 D2 E2 F2 G2 H2
P11,8,6561,A3 B3 C3 D3 E3 F3 G3 H3
P12,8,6561,A4 B4 C4 D4 E4 F4 G4 H4
P13,8,6561,B1 C1 D2 E3 F4 G5 H6 H7
P14,7,2187,D1 B2 E2 F3 G4 H5 G7
